Gender,Age_Group,Shoulder_Height_Diff_px,Hip_Height_Diff_px,Torso_Vertical_Tilt_deg,Ear_Hip_Vertical_Tilt_deg,Shoulder_Line_Horizontal_Tilt_deg,Hip_Line_Horizontal_Tilt_deg,Exercise_Label
Female,Teen,1.0,3.0,-0.55,-0.74,0.34,1.74,Glute Bridge
Female,Teen,2.0,1.0,-0.32,0.42,-0.7,0.62,Resistance Band Shoulder Squeeze
Female,Teen,1.0,4.0,2.33,0.67,0.44,2.39,Glute Bridge
Female,Teen,1.0,1.0,3.35,1.11,-0.38,-0.52,Bird Dog
Female,Teen,3.0,4.0,-0.28,-1.09,1.08,-2.18,Glute Bridge
Female,Teen,6.0,0.0,-1.56,-3.29,-2.22,-0.0,Wall Angel
Female,Teen,5.0,0.0,1.79,0.36,1.81,-0.0,Wall Angel
Female,Teen,0.0,4.0,0.26,-0.91,-0.0,-2.25,Glute Bridge
Female,Teen,7.0,2.0,1.25,1.68,2.04,0.95,Wall Angel
Female,Teen,10.0,3.0,1.69,2.27,3.27,1.79,Wall Angel
Female,Teen,3.0,1.0,-1.49,-1.95,1.1,-0.6,Resistance Band Shoulder Squeeze
Female,Teen,1.0,1.0,-2.12,-0.36,-0.35,0.58,Bird Dog
Female,Teen,1.0,0.0,-0.61,1.06,0.4,-0.0,Bird Dog
Female,Teen,3.0,2.0,1.19,1.26,-1.21,1.22,Wall Angel
Female,Teen,6.0,3.0,-0.54,-0.36,1.79,-1.74,Wall Angel
Female,Teen,7.0,1.0,2.12,1.21,-2.51,-0.69,Wall Angel
Female,Teen,4.0,3.0,0.84,0.95,1.35,-1.67,Wall Angel
Female,Teen,6.0,0.0,2.42,0.77,2.02,-0.0,Wall Angel
Female,Teen,4.0,2.0,1.46,-0.2,1.35,-1.16,Wall Angel
Female,Teen,3.0,1.0,-2.88,-1.77,-1.07,-0.6,Bird Dog
Female,Teen,9.0,3.0,-2.02,-2.96,-3.32,-1.64,Wall Angel
Female,Teen,2.0,2.0,-1.48,-1.77,-0.69,-1.04,Bird Dog
Female,Teen,0.0,3.0,-1.69,-1.97,-0.0,-1.67,Glute Bridge
Female,Teen,2.0,1.0,-3.1,-1.95,0.72,-0.6,Bird Dog
Female,Teen,3.0,0.0,0.0,-0.42,-1.17,-0.0,Wall Angel
Female,Teen,6.0,1.0,-1.19,-1.19,-2.25,0.59,Wall Angel
Female,Teen,2.0,0.0,0.85,1.15,-0.77,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,3.0,1.0,-0.81,0.37,1.04,-0.58,Resistance Band Shoulder Squeeze
Female,Teen,4.0,0.0,-2.76,-2.68,-1.54,-0.0,Wall Angel
Female,Teen,2.0,1.0,-1.09,-1.33,-0.83,-0.58,Resistance Band Shoulder Squeeze
Female,Teen,2.0,1.0,1.49,1.01,0.74,0.56,Resistance Band Shoulder Squeeze
Female,Teen,0.0,3.0,2.3,0.4,-0.0,1.58,Glute Bridge
Female,Teen,1.0,1.0,-0.81,-1.29,0.37,-0.56,Bird Dog
Female,Teen,0.0,4.0,-1.09,-0.73,-0.0,2.83,Glute Bridge
Female,Teen,2.0,1.0,-0.31,-1.25,0.82,0.57,Resistance Band Shoulder Squeeze
Female,Teen,1.0,1.0,1.53,0.21,0.37,0.57,Bird Dog
Female,Teen,4.0,3.0,4.5,2.98,1.56,1.91,Bird Dog
Female,Teen,1.0,2.0,-0.86,-1.35,-0.37,1.13,Glute Bridge
Female,Teen,6.0,1.0,0.28,0.0,2.22,0.56,Wall Angel
Female,Teen,4.0,2.0,0.74,0.69,-1.31,-1.04,Wall Angel
Female,Teen,3.0,2.0,-0.55,-1.34,1.13,-1.21,Resistance Band Shoulder Squeeze
Female,Teen,2.0,4.0,1.96,-0.56,-0.73,2.2,Glute Bridge
Female,Teen,3.0,1.0,0.57,-0.19,-1.12,0.54,Resistance Band Shoulder Squeeze
Female,Teen,4.0,5.0,-1.96,-3.26,1.58,2.92,Glute Bridge
Female,Teen,0.0,2.0,-3.33,-1.52,-0.0,-1.09,Bird Dog
Female,Teen,6.0,4.0,-1.02,-1.15,-2.4,2.25,Wall Angel
Female,Teen,1.0,1.0,1.1,0.38,0.37,-0.62,Glute Bridge
Female,Teen,1.0,0.0,-0.28,-0.95,-0.32,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,6.0,1.0,-1.25,-2.26,-1.95,0.52,Wall Angel
Female,Teen,3.0,1.0,-0.28,-1.19,1.15,0.55,Wall Angel
Female,Teen,5.0,1.0,-0.49,-0.87,1.6,-0.52,Wall Angel
Female,Teen,1.0,0.0,0.0,-1.71,0.37,-0.0,Bird Dog
Female,Teen,5.0,1.0,-0.58,-0.2,-1.88,-0.58,Wall Angel
Female,Teen,0.0,1.0,0.0,0.0,-0.0,0.65,Glute Bridge
Female,Teen,2.0,0.0,0.0,-0.36,-0.68,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,2.0,0.0,-1.75,-1.01,-0.77,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,0.0,1.0,0.64,-0.67,-0.0,0.62,Glute Bridge
Female,Teen,0.0,1.0,-1.52,0.21,-0.0,0.62,Bird Dog
Female,Teen,2.0,1.0,1.29,-0.18,0.66,-0.57,Resistance Band Shoulder Squeeze
Female,Teen,3.0,1.0,0.86,-1.15,-1.09,0.51,Resistance Band Shoulder Squeeze
Female,Teen,5.0,2.0,1.9,0.68,1.61,-1.01,Wall Angel
Female,Teen,0.0,1.0,-1.51,-1.93,-0.0,0.58,Bird Dog
Female,Teen,5.0,1.0,-2.28,-1.95,1.91,0.54,Wall Angel
Female,Teen,6.0,1.0,-0.25,-1.26,2.02,-0.58,Wall Angel
Female,Teen,7.0,3.0,1.9,-0.18,2.47,1.75,Wall Angel
Female,Teen,3.0,0.0,0.78,0.0,-1.11,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,3.0,0.0,-0.32,-0.21,-1.02,-0.0,Resistance Band Shoulder Squeeze
Female,Teen,1.0,1.0,-0.84,-2.0,0.4,0.52,Bird Dog
Female,Teen,2.0,2.0,0.0,-1.55,-0.72,0.99,Glute Bridge
Female,Teen,3.0,5.0,-1.55,-1.45,-1.15,2.95,Glute Bridge
Female,Young Adult,9.0,3.0,1.65,1.32,2.85,1.48,Shoulder Press
Female,Young Adult,1.0,3.0,-0.75,-1.39,0.38,-1.62,Clamshell
Female,Young Adult,1.0,3.0,-2.37,-3.98,0.37,-1.61,Plank
Female,Young Adult,5.0,2.0,-2.33,-0.73,1.67,-1.12,Shoulder Press
Female,Young Adult,4.0,2.0,-3.12,-4.32,1.41,-1.05,Plank
Female,Young Adult,2.0,0.0,3.81,0.98,0.69,-0.0,Plank
Female,Young Adult,3.0,3.0,-3.09,-1.72,-1.12,-1.77,Plank
Female,Young Adult,1.0,0.0,-0.54,-1.28,0.35,-0.0,Plank
Female,Young Adult,1.0,1.0,-0.27,-1.65,0.39,-0.62,Plank
Female,Young Adult,5.0,3.0,0.84,-0.19,-1.88,-1.65,Shoulder Press
Female,Young Adult,11.0,1.0,-0.76,-2.44,-3.68,-0.5,Shoulder Press
Female,Young Adult,1.0,1.0,1.38,-2.24,0.37,-0.58,Plank
Female,Young Adult,5.0,1.0,-1.6,-1.99,1.66,-0.55,Shoulder Press
Female,Young Adult,5.0,1.0,3.19,2.58,1.87,-0.56,Shoulder Press
Female,Young Adult,2.0,2.0,1.29,1.25,0.67,1.17,Clamshell
Female,Young Adult,4.0,1.0,-3.26,-2.36,-1.28,-0.54,Plank
Female,Young Adult,2.0,0.0,-0.29,-0.59,0.69,-0.0,Resistance Band Arm Stretch
Female,Young Adult,2.0,4.0,2.21,0.0,0.72,1.93,Clamshell
Female,Young Adult,5.0,2.0,-0.57,-2.4,1.77,-1.33,Shoulder Press
Female,Young Adult,0.0,2.0,0.52,0.71,-0.0,1.03,Standing Hip Abduction
Female,Young Adult,5.0,3.0,-1.31,-0.89,1.77,1.65,Shoulder Press
Female,Young Adult,5.0,5.0,-1.58,-2.68,1.8,-2.89,Clamshell
Female,Young Adult,2.0,2.0,-1.73,-1.2,0.67,-1.02,Standing Hip Abduction
Female,Young Adult,3.0,2.0,-0.99,-1.54,-1.12,-1.05,Shoulder Press
Female,Young Adult,1.0,2.0,0.0,-1.65,-0.37,-1.23,Clamshell
Female,Young Adult,1.0,1.0,-1.21,-1.82,-0.36,-0.59,Plank
Female,Young Adult,1.0,0.0,-0.8,-2.0,-0.35,-0.0,Plank
Female,Young Adult,2.0,0.0,0.59,-1.02,0.76,-0.0,Resistance Band Arm Stretch
Female,Young Adult,2.0,2.0,2.43,0.74,-0.72,-1.22,Clamshell
Female,Young Adult,3.0,1.0,-1.06,-1.99,1.01,0.55,Resistance Band Arm Stretch
Female,Young Adult,3.0,3.0,0.53,-0.72,-1.01,1.56,Clamshell
Female,Young Adult,2.0,2.0,0.54,-0.19,-0.77,-1.3,Clamshell
Female,Young Adult,1.0,3.0,0.26,-0.18,0.35,1.43,Clamshell
Female,Young Adult,6.0,2.0,0.54,1.27,2.05,1.21,Shoulder Press
Female,Young Adult,4.0,1.0,-2.1,-1.57,1.47,0.6,Shoulder Press
Female,Young Adult,4.0,1.0,1.88,0.36,1.27,0.5,Shoulder Press
Female,Young Adult,0.0,6.0,0.29,1.5,-0.0,3.4,Clamshell
Female,Young Adult,6.0,3.0,-2.04,,-2.22,-1.89,Shoulder Press
Female,Young Adult,1.0,1.0,0.26,0.53,0.39,0.55,Standing Hip Abduction
Female,Young Adult,4.0,2.0,-1.66,-0.37,-1.5,1.21,Shoulder Press
Female,Young Adult,2.0,1.0,-1.77,-2.59,-0.71,-0.61,Plank
Female,Young Adult,6.0,1.0,-0.57,-1.15,2.16,-0.63,Shoulder Press
Female,Young Adult,8.0,3.0,2.63,1.48,2.74,1.52,Shoulder Press
Female,Young Adult,1.0,0.0,-0.29,-1.17,0.36,-0.0,Plank
Female,Young Adult,2.0,0.0,0.3,-0.2,0.73,-0.0,Resistance Band Arm Stretch
Female,Young Adult,2.0,2.0,-0.76,-1.81,0.64,-1.01,Standing Hip Abduction
Female,Young Adult,0.0,0.0,3.67,0.62,-0.0,-0.0,Plank
Female,Young Adult,2.0,3.0,-1.84,-1.42,-0.69,-1.87,Clamshell
Female,Young Adult,4.0,2.0,-0.6,-0.6,-1.5,1.12,Shoulder Press
Female,Young Adult,2.0,0.0,-1.41,-0.94,-0.77,-0.0,Resistance Band Arm Stretch
Female,Young Adult,2.0,0.0,2.43,0.75,-0.69,-0.0,Plank
Female,Young Adult,2.0,1.0,-1.01,-0.71,0.75,0.55,Resistance Band Arm Stretch
Female,Young Adult,0.0,0.0,-0.55,-0.56,-0.0,-0.0,Russian Twist
Female,Young Adult,7.0,4.0,2.88,1.32,2.62,2.31,Shoulder Press
Female,Young Adult,8.0,1.0,-4.23,-3.59,-2.44,-0.51,Shoulder Press
Female,Young Adult,2.0,0.0,1.77,0.0,0.77,-0.0,Resistance Band Arm Stretch
Female,Young Adult,5.0,3.0,3.79,2.14,1.9,1.68,Shoulder Press
Female,Young Adult,2.0,0.0,-0.59,0.8,-0.72,-0.0,Resistance Band Arm Stretch
Female,Young Adult,2.0,1.0,2.12,1.63,0.69,0.58,Plank
Female,Young Adult,2.0,1.0,-0.54,0.19,0.69,0.48,Resistance Band Arm Stretch
Female,Young Adult,4.0,1.0,0.54,0.75,1.44,0.54,Shoulder Press
Female,Young Adult,0.0,2.0,1.7,1.12,-0.0,1.06,Clamshell
Female,Young Adult,1.0,1.0,3.35,0.97,0.37,0.54,Plank
Female,Young Adult,5.0,4.0,2.7,0.9,1.82,2.18,Shoulder Press
Female,Young Adult,2.0,1.0,-2.56,-1.8,0.68,-0.55,Plank
Female,Young Adult,1.0,3.0,3.78,2.78,0.37,1.68,Plank
Female,Young Adult,4.0,3.0,-1.74,-2.18,1.21,-1.65,Shoulder Press
Female,Young Adult,3.0,2.0,1.55,0.35,1.07,1.09,Resistance Band Arm Stretch
Female,Young Adult,6.0,0.0,-0.5,-1.6,-2.05,-0.0,Shoulder Press
Female,Young Adult,2.0,1.0,0.49,-0.35,-0.76,0.57,Resistance Band Arm Stretch
Female,Young Adult,6.0,0.0,0.0,-0.56,-2.16,-0.0,Shoulder Press
Female,Young Adult,1.0,0.0,3.56,2.24,-0.38,-0.0,Plank
Female,Young Adult,3.0,2.0,1.35,0.54,1.09,1.05,Shoulder Press
Female,Middle-aged,1.0,0.0,-1.39,-2.96,0.34,-0.0,Modified Plank
Female,Middle-aged,4.0,2.0,0.0,-0.75,-1.31,1.1,Band Shoulder Abduction
Female,Middle-aged,7.0,1.0,1.05,-0.91,2.44,0.57,Band Shoulder Abduction
Female,Middle-aged,1.0,1.0,-1.62,-3.31,-0.37,-0.58,Modified Plank
Female,Middle-aged,1.0,2.0,-0.29,-1.4,-0.36,1.19,Standing Hip Abduction
Female,Middle-aged,9.0,2.0,-3.65,-2.88,-3.32,-1.19,Band Shoulder Abduction
Female,Middle-aged,4.0,1.0,1.21,1.02,-1.51,0.62,Band Shoulder Abduction
Female,Middle-aged,9.0,1.0,0.0,-0.18,2.91,-0.58,Band Shoulder Abduction
Female,Middle-aged,5.0,0.0,1.6,1.65,1.66,-0.0,Band Shoulder Abduction
Female,Middle-aged,2.0,2.0,1.32,0.18,-0.71,1.02,Standing Hip Abduction
Female,Middle-aged,4.0,0.0,-0.68,-1.32,-1.34,-0.0,Band Shoulder Abduction
Female,Middle-aged,4.0,1.0,-2.89,-2.58,-1.54,-0.55,Band Shoulder Abduction
Female,Middle-aged,4.0,3.0,-2.64,-2.33,-1.26,-1.68,Band Shoulder Abduction
Female,Middle-aged,1.0,0.0,-0.53,-0.55,-0.34,-0.0,Cross-Body Arm Stretch
Female,Middle-aged,2.0,1.0,-1.62,-2.4,0.69,0.52,Modified Plank
Female,Middle-aged,5.0,1.0,-1.19,-1.82,-1.67,-0.57,Band Shoulder Abduction
Female,Middle-aged,1.0,1.0,0.86,0.77,-0.37,0.55,Modified Plank
Female,Middle-aged,1.0,0.0,2.45,-1.9,-0.36,-0.0,Modified Plank
Female,Middle-aged,1.0,1.0,-2.39,-1.42,-0.28,-0.51,Modified Plank
Female,Middle-aged,3.0,3.0,-1.86,-2.39,-1.03,-1.47,Standing Hip Abduction
Female,Middle-aged,2.0,2.0,-1.16,0.0,-0.69,-1.12,Standing Hip Abduction
Female,Middle-aged,6.0,0.0,2.82,0.73,2.08,-0.0,Band Shoulder Abduction
Female,Middle-aged,3.0,2.0,2.3,0.18,1.09,1.12,Band Shoulder Abduction
Female,Middle-aged,7.0,1.0,-0.48,-1.95,2.29,0.54,Band Shoulder Abduction
Female,Middle-aged,11.0,2.0,-3.32,-3.76,-4.03,-1.16,Band Shoulder Abduction
Female,Middle-aged,5.0,1.0,-2.59,-2.14,-1.76,-0.56,Band Shoulder Abduction
Female,Middle-aged,3.0,1.0,-3.58,-1.6,-1.02,-0.53,Modified Plank
Female,Middle-aged,2.0,1.0,-0.74,-2.91,0.75,-0.55,Modified Plank
Female,Middle-aged,1.0,2.0,1.02,0.35,0.36,1.1,Standing Hip Abduction
Female,Middle-aged,1.0,1.0,-0.49,-0.17,-0.35,-0.52,Seated Marches
Female,Middle-aged,3.0,0.0,0.27,-0.36,1.07,-0.0,Cross-Body Arm Stretch
Female,Middle-aged,2.0,2.0,0.54,-1.49,-0.74,-1.01,Standing Hip Abduction
Female,Middle-aged,2.0,1.0,0.25,0.0,0.62,0.49,Cross-Body Arm Stretch
Female,Middle-aged,2.0,2.0,-0.3,-1.53,-0.67,1.05,Standing Hip Abduction
Female,Middle-aged,7.0,0.0,-2.62,-2.66,-2.67,-0.0,Band Shoulder Abduction
Female,Middle-aged,2.0,4.0,-2.28,-1.75,0.68,-1.91,Standing Hip Abduction
Female,Middle-aged,3.0,2.0,0.53,-1.46,1.07,-1.17,Cross-Body Arm Stretch
Female,Middle-aged,4.0,1.0,-4.2,-3.84,-1.41,-0.52,Modified Plank
Female,Middle-aged,8.0,0.0,-1.29,-1.8,2.78,-0.0,Band Shoulder Abduction
Female,Middle-aged,1.0,1.0,-0.7,-0.16,0.28,-0.52,Seated Marches
Female,Middle-aged,0.0,1.0,0.83,0.94,-0.0,0.52,Modified Plank
Female,Middle-aged,4.0,2.0,0.0,-1.45,1.47,1.06,Band Shoulder Abduction
Female,Middle-aged,1.0,1.0,-0.26,-1.28,-0.33,0.49,Modified Plank
Female,Middle-aged,6.0,1.0,2.84,3.75,2.01,0.53,Band Shoulder Abduction
Female,Middle-aged,2.0,3.0,2.08,2.46,-0.7,1.62,Standing Hip Abduction
Female,Middle-aged,1.0,1.0,1.94,1.14,-0.38,0.53,Modified Plank
Female,Middle-aged,0.0,2.0,-1.07,-0.92,-0.0,1.12,Standing Hip Abduction
Female,Middle-aged,2.0,1.0,-2.34,-2.33,-0.71,0.52,Modified Plank
Female,Middle-aged,1.0,2.0,1.11,0.38,0.38,-1.09,Standing Hip Abduction
Female,Middle-aged,5.0,1.0,-0.27,0.94,1.76,0.48,Band Shoulder Abduction
Female,Middle-aged,14.0,4.0,2.13,2.13,5.26,2.2,Band Shoulder Abduction
Female,Middle-aged,3.0,2.0,-1.13,-2.12,-1.1,-1.08,Band Shoulder Abduction
Female,Middle-aged,8.0,1.0,2.54,0.79,2.86,-0.51,Band Shoulder Abduction
Female,Middle-aged,3.0,2.0,-1.19,-2.19,1.08,-1.07,Band Shoulder Abduction
Female,Middle-aged,2.0,3.0,-0.55,-2.44,-0.75,1.64,Standing Hip Abduction
Female,Middle-aged,5.0,0.0,-0.55,-1.11,1.8,-0.0,Band Shoulder Abduction
Female,Middle-aged,2.0,1.0,-0.54,-2.53,0.73,-0.52,Modified Plank
Female,Middle-aged,3.0,1.0,1.64,1.33,1.07,0.58,Cross-Body Arm Stretch
Female,Middle-aged,3.0,0.0,-0.52,-0.53,0.99,-0.0,Cross-Body Arm Stretch
Female,Middle-aged,7.0,1.0,1.07,-0.37,2.25,0.52,Band Shoulder Abduction
Female,Middle-aged,9.0,1.0,-2.95,-3.07,-3.22,-0.57,Band Shoulder Abduction
Female,Middle-aged,9.0,5.0,3.71,3.02,3.43,2.43,Band Shoulder Abduction
Female,Middle-aged,0.0,4.0,4.37,1.67,-0.0,2.34,Standing Hip Abduction
Female,Middle-aged,4.0,5.0,1.08,1.62,1.38,2.41,Standing Hip Abduction
Female,Middle-aged,7.0,1.0,0.81,-0.19,2.51,0.56,Band Shoulder Abduction
Female,Middle-aged,8.0,1.0,1.9,1.11,2.9,0.54,Band Shoulder Abduction
Female,Middle-aged,3.0,3.0,0.84,2.12,1.01,1.53,Standing Hip Abduction
